Created At,Source,Tweet,Sentiment,Polarity,Subjectivity,User Name,Place
Sat Nov 13 13:28:15 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",b'Rhodeapple rickpittman It was definitely planned and the weaponized spike protein was created and patented Thi\xe2\x80\xa6 httpstcoNlnUdkBwLP',neutral,0.0,0.5,KacarabKatie,
Sat Nov 13 13:28:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",b'RT SamIAm2021MD I am blown away by this COVID vaccine video one of the coolest things I have seen in a long time httpstcoyREIETqtWh',negative,-0.05,0.4,thesailesphuyal,
Sat Nov 13 13:28:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",b'RepChrisStewart Anti American energy policy What the hell are you talking about BTW as you know the inflati\xe2\x80\xa6 httpstcoxq1Gt1fLLO',neutral,0.0,0.0,RobinCornatl,
Sat Nov 13 13:28:15 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",b'RT OnlyHumanFolks From a free and clear to palliative care within two weeks Even the doctor can\xe2\x80\x99t explain it My dad fought for everythi\xe2\x80\xa6',positive,0.25,0.5916666666666667,RMC231,
Sat Nov 13 13:28:16 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",b'RT lizziedearden Exclusive The government has been ordered to publish its assessments on the impact of national lockdowns and Covid rest\xe2\x80\xa6',neutral,0.0,0.0,M007M10,
Sat Nov 13 13:28:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",b'ColngStanley realjuliasong Everyone vax n not vax will get Covid eventually Thats when we are finished with the pandemic',neutral,0.0,0.0,KellyKelpress,
Sat Nov 13 13:28:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",b'With covid cases strong in the communityGet your haircut in a safe environment No Queues  All barbers are Vaccin\xe2\x80\xa6 httpstcoyId1NUUeaq',positive,0.4666666666666667,0.6166666666666667,barbershopboy,
Sat Nov 13 13:28:16 +0000 2021,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",b'After school ends DC kids prep to receive the covid vaccine \xe2\x80\x9cDo I need this card\xe2\x80\x9d httpstcotrrokfotPx',neutral,0.0,0.0,washingtonpost,
Sat Nov 13 13:28:16 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",b'They\xe2\x80\x99re still not putting 2 and 2 together are they \n\nImagine being these people The ignorance in itself must be\xe2\x80\xa6 httpstcoKPyIDflJeT',neutral,0.0,0.0,MountvSimon,
Sat Nov 13 13:28:16 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",b'RT RWMaloneMD Few people are as qualified to comment on the course of the COVID pandemic and the mass vaccination campaign as Dr Malone\xe2\x80\xa6',negative,-0.2,0.1,jiuling1776,
